1498747833.000000, 1498747833.000000, 1498747833.000000
32.000000, 32.000000, 32.000000
56,-18,-18
57,-18,-17
59,-18,-16
60,-18,-15
57,-17,-17
56,-17,-17
56,-18,-17
58,-17,-14
57,-16,-14
56,-16,-13
55,-15,-14
56,-16,-14
57,-17,-17
59,-18,-16
59,-17,-17
59,-17,-16
56,-17,-18
56,-17,-17
56,-16,-20
56,-18,-18
57,-17,-17
57,-15,-17
57,-16,-18
57,-17,-17
57,-15,-18
57,-16,-17
57,-17,-17
58,-17,-16
56,-16,-18
56,-16,-17
57,-16,-18
57,-16,-17
57,-16,-17
58,-15,-17
57,-15,-18
57,-16,-18
57,-15,-16
58,-15,-16
59,-15,-16
59,-15,-16
57,-15,-17
58,-15,-17
57,-14,-17
59,-16,-16
58,-16,-17
57,-15,-17
57,-15,-17
58,-15,-16
57,-15,-16
58,-15,-16
58,-15,-17
59,-15,-16
58,-15,-17
58,-15,-16
58,-15,-16
59,-14,-15
58,-15,-15
58,-14,-15
59,-14,-16
59,-16,-15
58,-16,-15
58,-14,-15
58,-15,-14
59,-15,-14
57,-16,-16
58,-15,-16
59,-16,-16
59,-15,-14
58,-15,-14
58,-15,-13
57,-14,-14
57,-14,-13
56,-14,-14
60,-14,-13
62,-15,-13
61,-15,-13
58,-14,-14
58,-14,-13
59,-13,-12
58,-13,-12
58,-14,-12
59,-13,-15
61,-13,-13
60,-15,-11
59,-13,-9
53,-12,-9
51,-12,-13
54,-12,-15
62,-15,-10
62,-16,-13
62,-12,-16
57,-12,-18
53,-11,-20
64,-9,-18
65,-10,-16
57,-10,-20
55,-9,-20
57,-10,-22
61,-10,-22
60,-8,-22
57,-9,-21
56,-8,-21
57,-8,-21
58,-8,-21
58,-8,-21
58,-8,-21
57,-8,-21
59,-7,-21
58,-7,-21
58,-7,-20
58,-7,-20
58,-7,-20
58,-7,-21
58,-7,-21
59,-7,-20
59,-7,-20
58,-7,-20
58,-7,-19
58,-7,-19
59,-6,-18
59,-6,-18
59,-6,-18
58,-6,-19
59,-6,-19
58,-6,-19
58,-6,-19
59,-6,-19
59,-6,-19
58,-6,-19
57,-6,-20
58,-6,-20
59,-7,-21
59,-7,-21
58,-6,-21
58,-6,-21
57,-6,-21
59,-6,-21
58,-7,-21
57,-7,-21
57,-7,-21
58,-6,-21
58,-6,-21
57,-7,-22
57,-6,-23
58,-6,-22
56,-6,-22
57,-6,-23
58,-7,-24
56,-7,-23
56,-8,-23
56,-6,-22
57,-5,-23
57,-6,-24
57,-7,-24
56,-6,-25
55,-6,-25
55,-7,-25
56,-7,-25
56,-6,-25
56,-6,-25
56,-6,-24
56,-7,-25
56,-6,-25
56,-6,-26
56,-7,-25
56,-7,-25
56,-6,-25
57,-5,-25
58,-6,-24
56,-6,-24
56,-5,-23
56,-5,-25
57,-6,-24
57,-6,-25
57,-5,-24
57,-5,-23
57,-4,-21
57,-4,-20
58,-4,-18
59,-1,-18
60,0,-18
59,0,-16
59,0,-15
60,0,-15
61,1,-15
